"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_spitfire_hist","Bias","MeanState","global","scalar","g m-2 d-1","0.44853","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_spitfire_hist","Bias Score","MeanState","global","score","1","0.455861","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_spitfire_hist","RMSE","MeanState","global","scalar","g m-2 d-1","1.08282","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_spitfire_hist","RMSE Score","MeanState","global","score","1","0.440839","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_spitfire_hist","Overall Score","MeanState","global","score","1","0.609355","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","fix_spitfire_hist","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","-0.0716889","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","fix_spitfire_hist","Bias","MeanState","global","scalar","g m-2 d-1","0.596959","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","fix_spitfire_hist","Bias Score","MeanState","global","score","1","0.431278","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","fix_spitfire_hist","Phase Shift","MeanState","global","scalar","months","1.99002","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","fix_spitfire_hist","Seasonal Cycle Score","MeanState","global","score","1","0.641224","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","fix_spitfire_hist","RMSE","MeanState","global","scalar","g m-2 d-1","1.89996","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","fix_spitfire_hist","RMSE Score","MeanState","global","score","1","0.340795","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","fix_spitfire_hist","Overall Score","MeanState","global","score","1","0.438523","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","wie_hist","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","-0.0678724","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","wie_hist","Bias","MeanState","global","scalar","g m-2 d-1","0.600775","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","wie_hist","Bias Score","MeanState","global","score","1","0.428659","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","wie_hist","Phase Shift","MeanState","global","scalar","months","1.98498","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","wie_hist","Seasonal Cycle Score","MeanState","global","score","1","0.642081","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","wie_hist","RMSE","MeanState","global","scalar","g m-2 d-1","1.90491","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","wie_hist","RMSE Score","MeanState","global","score","1","0.339641","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","wie_hist","Overall Score","MeanState","global","score","1","0.437506","24.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","WECANN","fix_spitfire_hist","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","114.05","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","WECANN","fix_spitfire_hist","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","1.89796","75.0"
