"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_byram","Period Mean (original grids)","MeanState","global","scalar","Pg","1444.86","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_byram","Model Period Mean (intersection)","MeanState","global","scalar","Pg","1443.19","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_byram","Model Period Mean (complement)","MeanState","global","scalar","Pg","1.66629","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_byram","Spatial Distribution Score","MeanState","global","score","1","0.73808","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_byram","Bias","MeanState","global","scalar","kg m-2","1.57643","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_byram","Bias Score","MeanState","global","score","1","0.600406","75.0"
"EcosystemandCarbonCycle","SoilCarbon","HWSD","fix_byram","Overall Score","MeanState","global","score","1","0.669243","75.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_surffwd","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","463.537","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_surffwd","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","9.30841","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_surffwd","Period Mean (original grids)","MeanState","global","scalar","Pg","1444.22","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_surffwd","Model Period Mean (intersection)","MeanState","global","scalar","Pg","505.072","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_surffwd","Model Period Mean (complement)","MeanState","global","scalar","Pg","939.153","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_surffwd","Spatial Distribution Score","MeanState","global","score","1","0.867371","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_surffwd","Bias","MeanState","global","scalar","kg m-2","1.89316","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_surffwd","Bias Score","MeanState","global","score","1","0.66332","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_surffwd","Overall Score","MeanState","global","score","1","0.765346","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_stand_weighting","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","463.537","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_stand_weighting","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","9.30841","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_stand_weighting","Period Mean (original grids)","MeanState","global","scalar","Pg","1444.89","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_stand_weighting","Model Period Mean (intersection)","MeanState","global","scalar","Pg","505.091","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_stand_weighting","Model Period Mean (complement)","MeanState","global","scalar","Pg","939.801","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_stand_weighting","Spatial Distribution Score","MeanState","global","score","1","0.867362","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_stand_weighting","Bias","MeanState","global","scalar","kg m-2","1.89402","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_stand_weighting","Bias Score","MeanState","global","score","1","0.663274","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_stand_weighting","Overall Score","MeanState","global","score","1","0.765318","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_byram","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","463.537","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_byram","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","9.30841","60.0"
"EcosystemandCarbonCycle","SoilCarbon","NCSCDV22","fix_byram","Period Mean (original grids)","MeanState","global","scalar","Pg","1444.86","60.0"
